CustomerID,Recency,Frequency,Monetary,Segment,VIP_Subsegment
12346,326,1,77183.6,Loyal,
12347,2,7,4310.0,Promising,
12348,75,4,1797.24,Promising,
12349,19,1,1757.55,Promising,
12350,310,1,334.4,Churned/At-Risk,
12352,36,8,2506.04,Promising,
12353,204,1,89.0,Churned/At-Risk,
12354,232,1,1079.4,Churned/At-Risk,
12355,214,1,459.4,Churned/At-Risk,
12356,23,3,2811.43,Promising,
12357,33,1,6207.67,Promising,
12358,2,2,1168.06,Promising,
12359,58,4,6310.03,Promising,
12360,52,3,2662.06,Promising,
12361,287,1,189.9,Churned/At-Risk,
12362,3,10,5226.23,Promising,
12363,110,2,552.0,Promising,
12364,8,4,1313.1,Promising,
12365,291,2,641.38,Churned/At-Risk,
12367,4,1,168.9,Promising,
12370,51,4,3541.94,Promising,
12371,45,2,1887.96,Promising,
12372,72,3,1298.04,Promising,
12373,311,1,364.6,Churned/At-Risk,
12374,25,1,742.9300000000001,Promising,
12375,11,2,457.5,Promising,
12377,315,2,1628.12,Churned/At-Risk,
12378,130,1,4008.62,Promising,
12379,82,2,852.24,Promising,
12380,22,4,2724.81,Promising,
12381,5,5,1845.31,Promising,
12383,185,5,1850.56,Churned/At-Risk,
12384,29,2,585.27,Promising,
12386,338,2,401.9,Churned/At-Risk,
12388,16,6,2780.66,Promising,
12390,80,1,549.84,Promising,
12391,22,1,439.66,Promising,
12393,72,4,1582.6000000000001,Promising,
12394,64,2,1272.48,Promising,
12395,19,12,3018.63,Promising,
12397,36,2,2409.9,Promising,
12398,46,1,1635.6599999999999,Promising,
12399,119,4,1108.65,Promising,
12401,303,1,84.3,Churned/At-Risk,
12402,323,1,225.6,Churned/At-Risk,
12403,50,1,427.7,Promising,
12405,149,1,1710.39,Churned/At-Risk,
12406,22,2,3415.3,Promising,
12407,50,5,1708.1200000000001,Promising,
12408,33,5,2888.55,Promising,
12409,79,3,11072.67,Promising,
12410,309,2,693.3299999999999,Churned/At-Risk,
12412,75,3,1226.88,Promising,
12413,67,3,758.1,Promising,
12414,217,3,562.41,Churned/At-Risk,
12415,24,21,124914.53,VIP,At-Risk VIPs
12417,3,9,3649.1,Promising,
12418,113,1,668.58,Promising,
12420,64,1,600.39,Promising,
12421,16,4,807.04,Promising,
12422,96,3,803.5600000000001,Promising,
12423,1,8,1859.31,Promising,
12424,163,2,1760.96,Churned/At-Risk,
12425,78,1,777.2,Promising,
12426,195,1,582.73,Churned/At-Risk,
12427,22,3,825.8,Promising,
12428,26,9,7956.46,Promising,
12429,9,4,3750.4,Promising,
12430,43,1,256.4,Promising,
12431,36,15,6419.95,Loyal,
12432,43,5,5059.32,Promising,
12433,1,7,13375.87,Promising,
12434,85,2,806.14,Promising,
12435,80,2,7829.89,Promising,
12436,100,1,509.01,Promising,
12437,2,18,4951.41,Loyal,
12438,14,2,2906.85,Promising,
12441,367,1,173.55,Churned/At-Risk,
12442,3,1,172.06,Promising,
12444,21,5,5005.46,Promising,
12445,22,1,133.4,Promising,
12446,58,1,1002.3100000000001,Promising,
12447,243,1,476.49,Churned/At-Risk,
12448,44,1,449.45,Promising,
12449,22,4,4067.29,Promising,
12450,156,2,197.88,Churned/At-Risk,
12451,11,5,9035.52,Promising,
12452,17,2,430.57,Promising,
12453,134,1,707.09,Promising,
12454,56,1,3528.34,Promising,
12455,73,6,2466.86,Promising,
12456,44,3,3181.04,Promising,
12457,66,7,2363.23,Promising,
12458,71,2,947.4,Promising,
12461,94,2,826.88,Promising,
12462,19,2,1189.59,Promising,
12463,53,4,1344.78,Promising,
12464,10,8,1212.05,Promising,
12465,17,2,742.1899999999999,Promising,
12468,188,2,729.5400000000001,Churned/At-Risk,
12471,2,30,19788.65,Loyal,
12472,32,7,6572.11,Promising,
12473,29,5,3928.0499999999997,Promising,
12474,17,18,7324.09,Loyal,
12475,54,1,723.38,Promising,
12476,16,11,6816.42,Promising,
12477,23,6,13219.74,Promising,
12478,4,1,680.99,Promising,
12479,11,1,527.2,Promising,
12480,28,4,3281.63,Promising,
12481,23,10,5579.82,Promising,
12483,17,8,2484.98,Promising,
12484,33,6,4527.32,Promising,
12488,10,3,1298.66,Promising,
12489,336,1,334.93,Churned/At-Risk,
12490,5,10,5417.93,Promising,
12491,39,1,460.40000000000003,Promising,
12492,63,2,263.21000000000004,Promising,
12493,166,2,433.74,Churned/At-Risk,
12494,16,7,1246.1000000000001,Promising,
12497,82,1,1043.1,Promising,
12498,21,3,403.70000000000005,Promising,
12500,23,11,4257.82,Promising,
12501,337,1,2169.39,Churned/At-Risk,
12502,96,5,3723.87,Promising,
12504,18,2,482.04999999999995,Promising,
12506,233,1,73.5,Churned/At-Risk,
12507,134,3,1304.81,Promising,
12508,26,2,397.88,Promising,
12509,284,1,176.5,Churned/At-Risk,
12510,143,2,982.5699999999999,Promising,
12512,66,2,132.18,Promising,
12513,113,1,612.29,Promising,
12514,267,1,1017.68,Churned/At-Risk,
12515,353,1,383.7,Churned/At-Risk,
12516,78,2,1312.06,Promising,
12517,28,5,2481.6,Promising,
12518,1,5,2056.89,Promising,
12519,64,1,330.84,Promising,
12520,79,5,2634.26,Promising,
12521,143,1,599.68,Churned/At-Risk,
12522,39,2,192.72,Promising,
12523,19,11,1789.77,Promising,
12524,9,8,4485.72,Promising,
12526,1,3,1316.66,Promising,
12527,82,3,348.71000000000004,Promising,
12528,9,6,1933.48,Promising,
12530,60,4,1662.28,Promising,
12531,15,1,125.22,Promising,
12532,30,1,349.83000000000004,Promising,
12534,131,1,1089.18,Promising,
